CycPeptMPDB_ID,Source,Year,Original_Name_in_Source_Literature,Structurally_Unique_ID,SMILES,Monomer_Length,Molecule_Shape,PAMPA,Caco2,MDCK,RRCK,MolLogP,Scaffold,Pred_123,True_123,Pred_369,True_369,Pred_1107,True_1107,Pred_3321,True_3321,Pred_9963,True_9963,Pred_29889,True_29889,Pred_89667,True_89667,Pred_269001,True_269001,Pred_807003,True_807003,Pred_2421009,True_2421009
1490,2016_Furukawa,2016,1.9-37,1490,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCc2ccccc2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-10.0,,,,6.0965,O=C1CNC(=O)CN(CCCc2ccccc2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-8.196017855724538,-10.0,-8.42718919639801,-10.0,-8.407092660832232,-10.0,-8.447904116844835,-10.0,-8.926449114569593,-10.0,-8.811168987667395,-10.0,-8.509352647843235,-10.0,-8.792158639550035,-10.0,-8.20730496103958,-10.0,-8.401897935910956,-10.0
1489,2016_Furukawa,2016,1.9-36,1489,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCc2cccnc2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.93,,,,5.1014,O=C1CNC(=O)CN(CCc2cccnc2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.067251628859845,-6.93,-6.265596625717178,-6.93,-5.840022514609337,-6.93,-5.91731374484356,-6.93,-6.391124894705134,-6.93,-6.544874515169914,-6.93,-6.375713196290894,-6.93,-6.294895771928654,-6.93,-6.735750126010099,-6.93,-6.190968249998941,-6.93
1488,2016_Furukawa,2016,1.9-35,1488,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.64,,,,4.8903,O=C1CNC(=O)CN(CC2CCOCC2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-5.5095470642235975,-6.64,-5.92182935934251,-6.64,-6.05524953503133,-6.64,-6.248985316585133,-6.64,-6.233664159131914,-6.64,-6.343128910807238,-6.64,-5.83063401751705,-6.64,-6.636206033337505,-6.64,-6.588737513254845,-6.64,-5.907115822202681,-6.64
1487,2016_Furukawa,2016,1.9-34,1487,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-10.0,,,,6.044,O=C1CNC(=O)CN(CC2CCCCC2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-8.008024594712476,-10.0,-8.332314554235047,-10.0,-8.196802635278534,-10.0,-7.906742419672114,-10.0,-8.888990121989607,-10.0,-8.301196074455856,-10.0,-8.308682131869103,-10.0,-8.898848519827705,-10.0,-8.278311211782853,-10.0,-8.092946573049375,-10.0
1486,2016_Furukawa,2016,1.9-33,1486,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(Cc2ccccc2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.88,,,,5.6639,O=C1CNC(=O)CN(Cc2ccccc2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-7.905173103831187,-7.88,-7.9967717900537,-7.88,-8.03279015507052,-7.88,-7.819804122261036,-7.88,-8.036285537904245,-7.88,-8.173980778775551,-7.88,-8.001988044110291,-7.88,-8.08532866488651,-7.88,-7.812024076598874,-7.88,-7.861216326292423,-7.88
1485,2016_Furukawa,2016,1.9-32,1485,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCN2CCCC2=O)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.71,,,,3.323,O=C1CNC(=O)CN(CCCN2CCCC2=O)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-5.653107109148691,-5.71,-5.51368135759704,-5.71,-5.532369316035561,-5.71,-5.590270313823023,-5.71,-5.930200718822564,-5.71,-5.6775667611716,-5.71,-5.603092039013745,-5.71,-5.781076107015348,-5.71,-5.930822904751514,-5.71,-5.515632359464074,-5.71
1484,2016_Furukawa,2016,1.9-31,1484,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCc2cnn(C)c2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.64,,,,3.6768,O=C1CNC(=O)CN(CCCc2cn[nH]c2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-5.495516210491123,-5.64,-5.380057677604605,-5.64,-5.345789984026202,-5.64,-5.395065674323291,-5.64,-5.632923149481172,-5.64,-5.5075174262775715,-5.64,-5.3949489669485144,-5.64,-5.571128723123709,-5.64,-5.228203563707493,-5.64,-5.329925383152368,-5.64
1482,2016_Furukawa,2016,1.9-29,1482,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCOc2ccccc2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.14,,,,4.3895,O=C1CNC(=O)CN(CCOc2ccccc2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.952273018688013,-7.14,-7.295836541293049,-7.14,-7.164416252748328,-7.14,-7.129081103285567,-7.14,-7.16139110515263,-7.14,-7.258036609920464,-7.14,-7.1932492384451265,-7.14,-7.448372776042426,-7.14,-6.696474354166588,-7.14,-7.1885338712768405,-7.14
1481,2016_Furukawa,2016,1.9-28,1481,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCc2ccccc2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.34,,,,4.9433,O=C1CNC(=O)CN(CCCc2ccccc2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-7.276184089755733,-7.34,-7.4301877114455035,-7.34,-7.379041297413067,-7.34,-7.42583894774525,-7.34,-7.570800332602396,-7.34,-7.682790637341397,-7.34,-7.453634156139709,-7.34,-7.804153900488863,-7.34,-6.949776733693179,-7.34,-7.366605971547849,-7.34
1479,2016_Furukawa,2016,1.9-26,1479,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCc2cccnc2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.57,,,,3.9482,O=C1CNC(=O)CN(CCc2cccnc2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-5.500285400497698,-5.57,-5.409278187737089,-5.57,-5.387218851851589,-5.57,-5.344386697957625,-5.57,-5.49226473329916,-5.57,-5.3801931773602085,-5.57,-5.468219182638864,-5.57,-5.370184744559331,-5.57,-5.220669461048768,-5.57,-5.388158592526446,-5.57
