CycPeptMPDB_ID,Source,Year,Original_Name_in_Source_Literature,Structurally_Unique_ID,SMILES,Monomer_Length,Molecule_Shape,PAMPA,Caco2,MDCK,RRCK,MolLogP,Scaffold,Pred_123,True_123,Pred_369,True_369,Pred_1107,True_1107,Pred_3321,True_3321,Pred_9963,True_9963,Pred_29889,True_29889,Pred_89667,True_89667,Pred_269001,True_269001,Pred_807003,True_807003,Pred_2421009,True_2421009
1490,2016_Furukawa,2016,1.9-37,1490,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCc2ccccc2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-10.0,,,,6.0965,O=C1CNC(=O)CN(CCCc2ccccc2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.141849330121514,-10.0,-6.247652669190763,-10.0,-5.871202845039986,-10.0,-5.921564190638786,-10.0,-6.164555345888641,-10.0,-6.362397973448987,-10.0,-6.255491646299594,-10.0,-6.561441245612168,-10.0,-6.6106988733296275,-10.0,-6.399264215414974,-10.0
1489,2016_Furukawa,2016,1.9-36,1489,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCc2cccnc2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.93,,,,5.1014,O=C1CNC(=O)CN(CCc2cccnc2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.203050215247016,-6.93,-6.238026317724973,-6.93,-5.866518144726172,-6.93,-6.230008174422242,-6.93,-6.179014075981326,-6.93,-6.289643423121185,-6.93,-6.255614906680954,-6.93,-6.093840513885902,-6.93,-6.510111925154696,-6.93,-6.4147051666938655,-6.93
1488,2016_Furukawa,2016,1.9-35,1488,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.64,,,,4.8903,O=C1CNC(=O)CN(CC2CCOCC2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.2268182285937135,-6.64,-5.890172392709168,-6.64,-5.4169539934615925,-6.64,-5.791956028874958,-6.64,-5.757932301755083,-6.64,-6.325743252196638,-6.64,-6.010046302660418,-6.64,-6.129868708412597,-6.64,-6.700289025024064,-6.64,-6.324182572336544,-6.64
1487,2016_Furukawa,2016,1.9-34,1487,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-10.0,,,,6.044,O=C1CNC(=O)CN(CC2CCCCC2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.132273258917369,-10.0,-5.7049655658824765,-10.0,-5.5136960448461325,-10.0,-5.603069202317951,-10.0,-5.747002358105085,-10.0,-5.903771781892214,-10.0,-5.912250391739865,-10.0,-6.081642905556463,-10.0,-6.315401209023515,-10.0,-6.2791321877038575,-10.0
1486,2016_Furukawa,2016,1.9-33,1486,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(Cc2ccccc2)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.88,,,,5.6639,O=C1CNC(=O)CN(Cc2ccccc2)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.162814177069978,-7.88,-6.386996743825101,-7.88,-6.07509905949921,-7.88,-6.023801569016868,-7.88,-6.079547980811676,-7.88,-6.324274436062234,-7.88,-6.269063029361701,-7.88,-6.34355283407763,-7.88,-6.763299817118485,-7.88,-6.3562628084600385,-7.88
1485,2016_Furukawa,2016,1.9-32,1485,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCN2CCCC2=O)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.71,,,,3.323,O=C1CNC(=O)CN(CCCN2CCCC2=O)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.239942501993227,-5.71,-5.737745255636668,-5.71,-5.511745195021014,-5.71,-6.143489771170779,-5.71,-5.596516986353218,-5.71,-5.799435837365454,-5.71,-6.144601319210797,-5.71,-6.023577869745751,-5.71,-5.962236771565249,-5.71,-6.185307182112688,-5.71
1484,2016_Furukawa,2016,1.9-31,1484,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCc2cnn(C)c2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.64,,,,3.6768,O=C1CNC(=O)CN(CCCc2cn[nH]c2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.233567703740357,-5.64,-5.664145443480657,-5.64,-5.466530240218372,-5.64,-6.121784594122483,-5.64,-5.660509969225463,-5.64,-5.785615622503505,-5.64,-6.162373301125944,-5.64,-5.797164194301616,-5.64,-5.799444169262455,-5.64,-6.176030070928116,-5.64
1482,2016_Furukawa,2016,1.9-29,1482,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCOc2ccccc2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.14,,,,4.3895,O=C1CNC(=O)CN(CCOc2ccccc2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.2648061293871375,-7.14,-5.602620131314641,-7.14,-5.580964405899547,-7.14,-6.263734173062065,-7.14,-6.2444505448047565,-7.14,-5.849843768607339,-7.14,-6.341559321290862,-7.14,-6.261792415343528,-7.14,-5.911324920198831,-7.14,-6.39382780466391,-7.14
1481,2016_Furukawa,2016,1.9-28,1481,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCc2ccccc2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.34,,,,4.9433,O=C1CNC(=O)CN(CCCc2ccccc2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.193165362115521,-7.34,-5.4946416957982605,-7.34,-5.4607766700303815,-7.34,-6.0279811860854915,-7.34,-6.0851258209530705,-7.34,-5.804989168349978,-7.34,-6.267847758326538,-7.34,-6.301771137781806,-7.34,-5.709149212061876,-7.34,-6.343985423737237,-7.34
1479,2016_Furukawa,2016,1.9-26,1479,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCc2cccnc2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.57,,,,3.9482,O=C1CNC(=O)CN(CCc2cccnc2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.236241923389571,-5.57,-5.663898071283208,-5.57,-5.497499475652747,-5.57,-6.464528572789412,-5.57,-6.03219048553718,-5.57,-5.949856880182631,-5.57,-6.250351793305828,-5.57,-6.206074800287625,-5.57,-5.866051056755807,-5.57,-6.291697965533064,-5.57
1478,2016_Furukawa,2016,1.9-25,1478,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-5.45,,,,3.7371,O=C1CNC(=O)CN(CC2CCOCC2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.192284081557394,-5.45,-5.557389212110811,-5.45,-5.274707164973994,-5.45,-5.941653876716244,-5.45,-5.627175691378207,-5.45,-5.73961819918399,-5.45,-6.0061257916241155,-5.45,-5.548406788567969,-5.45,-5.878782985990897,-5.45,-6.2120729907143835,-5.45
1477,2016_Furukawa,2016,1.9-24,1477,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-7.35,,,,4.8908,O=C1CNC(=O)CN(CC2CCCCC2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.111797941326082,-7.35,-5.1908438849070855,-7.35,-5.192836120541759,-7.35,-5.720710327318063,-7.35,-5.572631991956295,-7.35,-5.613492435874257,-7.35,-5.934179914237421,-7.35,-6.006239899082128,-7.35,-5.600219085376034,-7.35,-6.23625014885723,-7.35
1475,2016_Furukawa,2016,1.9-22,1475,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(Cc2ccccc2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2cc(CC(C)C)on2)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.97,,,,4.5107,O=C1CNC(=O)CN(Cc2ccccc2)C(=O)C(Cc2ccccc2)NC(=O)CN(Cc2ccon2)C(=O)C2CCCN2C(=O)CN1,-6.173337788699274,-6.97,-5.61849272959326,-6.97,-5.58566773134808,-6.97,-6.21173522959783,-6.97,-6.023856319310846,-6.97,-5.989433588590623,-6.97,-6.290512920430817,-6.97,-6.124981663114779,-6.97,-5.843010731223621,-6.97,-6.328527078863147,-6.97
1453,2016_Furukawa,2016,1.8-40,1453,CCCC[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(CCCN2CCCC2=O)C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,6,Circle,-6.5,,,,4.0184,O=C1CNC(=O)CN(CCCN2CCCC2=O)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)C2CCCN2C(=O)CN1,-6.33642632538751,-6.5,-6.770423041703218,-6.5,-6.141711139223996,-6.5,-5.916939805353077,-6.5,-5.770818386288878,-6.5,-7.265850104804162,-6.5,-6.326213852335264,-6.5,-6.560269002439254,-6.5,-7.113356076890686,-6.5,-6.339773588986598,-6.5
