CycPeptMPDB_ID,Source,Year,Original_Name_in_Source_Literature,Structurally_Unique_ID,SMILES,Monomer_Length,Molecule_Shape,PAMPA,Caco2,MDCK,RRCK,MolLogP,Scaffold,Pred_123,True_123,Pred_369,True_369,Pred_1107,True_1107,Pred_3321,True_3321,Pred_9963,True_9963,Pred_29889,True_29889,Pred_89667,True_89667,Pred_269001,True_269001,Pred_807003,True_807003,Pred_2421009,True_2421009
1129,2016_Frost,2016,Compound.28,1129,CC(C)C[C@@H]1NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC1=O,6,Circle,-6.89,,,,-1.0135,O=C1CNC(=O)CNC(=O)C2CCCN2C(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN1,-6.13730780846773,-6.89,-6.545008466907373,-6.89,-6.763953417057978,-6.89,-6.35055181095982,-6.89,-6.422836652380479,-6.89,-6.8069106104824755,-6.89,-6.303347375372236,-6.89,-6.105340968381982,-6.89,-5.98664345335694,-6.89,-6.429657349696005,-6.89
1130,2016_Frost,2016,Compound.29,1130,CC(C)C[C@@H]1NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)NC1=O,6,Circle,-8.06,,,,-0.625,O=C1CNC(=O)CNC(=O)C2CCCN2C(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN1,-6.16607092036814,-8.06,-6.644785985305962,-8.06,-6.991293962967944,-8.06,-6.582920426641505,-8.06,-7.098634322128871,-8.06,-7.501381926705189,-8.06,-7.53197029502013,-8.06,-7.1861610718126485,-8.06,-7.089824439906774,-8.06,-7.982322768534766,-8.06
1131,2016_Frost,2016,Compound.30,1131,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC1=O,6,Circle,-7.13,,,,-0.625,O=C1CNC(=O)CNC(=O)C2CCCN2C(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN1,-6.163851765089668,-7.13,-6.629344905885363,-7.13,-6.935667358041371,-7.13,-6.53520002797667,-7.13,-6.948312896885027,-7.13,-7.366828305221642,-7.13,-7.194159283648445,-7.13,-6.836105477706984,-7.13,-6.743409426210247,-7.13,-7.680738603442788,-7.13
1132,2016_Frost,2016,Compound.31,1132,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)NC1=O,6,Circle,-7.33,,,,-0.2365,O=C1CNC(=O)CNC(=O)C2CCCN2C(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN1,-6.190394501940739,-7.33,-6.724506462812703,-7.33,-7.1591135240751225,-7.33,-6.757140822506076,-7.33,-7.51914858641251,-7.33,-7.907536874075346,-7.33,-8.016376854392238,-7.33,-7.556066694268527,-7.33,-7.539726120959118,-7.33,-8.33978219755745,-7.33
7377,2022_Saunders,2022,Cyclo-(PGLGFA) (1),1129,CC(C)C[C@@H]1NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC1=O,6,Circle,-8.0,,,,-1.0135,O=C1CNC(=O)CNC(=O)C2CCCN2C(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN1,-6.13730780846773,-8.0,-6.545008466907373,-8.0,-6.763953417057978,-8.0,-6.35055181095982,-8.0,-6.422836652380479,-8.0,-6.8069106104824755,-8.0,-6.303347375372236,-8.0,-6.105340968381982,-8.0,-5.98664345335694,-8.0,-6.429657349696005,-8.0
946,2015_Ahlbach,2015,Enniatin B,946,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,6,Circle,-4.73,,,,3.1524,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,-5.1570554607052665,-4.73,-4.967430404293161,-4.73,-4.922207225101504,-4.73,-5.028651749686225,-4.73,-4.93468413062263,-4.73,-4.948289846955789,-4.73,-4.987796482847116,-4.73,-5.440564200698098,-4.73,-5.147034498482402,-4.73,-5.386053141575367,-4.73
947,2015_Ahlbach,2015,Enniatin I,947,CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C1=O,6,Circle,-5.34,,,,3.9326,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,-5.122873386033123,-5.34,-4.948090806488046,-5.34,-4.899586095154956,-5.34,-5.021603652230269,-5.34,-4.876317397567127,-5.34,-4.879142125518417,-5.34,-4.97919409236235,-5.34,-5.287889935466791,-5.34,-5.059598817762909,-5.34,-5.125766290463297,-5.34
948,2015_Ahlbach,2015,Enniatin J1,948,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N1C,6,Circle,-5.45,,,,2.5163,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,-5.135654428351263,-5.45,-4.970596014638868,-5.45,-4.922715303231357,-5.45,-5.019863823339756,-5.45,-4.931728974314933,-5.45,-4.916417713365307,-5.45,-4.955982680442082,-5.45,-5.4660922896668325,-5.45,-5.130246421735721,-5.45,-5.398486222471728,-5.45
949,2015_Ahlbach,2015,Enniatin H,949,CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C1=O,6,Circle,-5.66,,,,3.5425,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,-5.142731604273452,-5.66,-4.960749632121516,-5.66,-4.91563823621728,-5.66,-5.027623134338366,-5.66,-4.926517067648078,-5.66,-4.9345880736667596,-5.66,-5.007784475995174,-5.66,-5.347806343847102,-5.66,-5.083040984193495,-5.66,-5.184915027335054,-5.66
950,2015_Ahlbach,2015,Enniatin MK1 688,950,CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C1=O,6,Circle,-5.99,,,,4.3227,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,-5.10537838672345,-5.99,-4.936059291586795,-5.99,-4.8835627929610155,-5.99,-5.015497130758075,-5.99,-4.827562154010358,-5.99,-4.821343021549081,-5.99,-4.949608462827563,-5.99,-5.235509227947,-5.99,-5.055153754902946,-5.99,-5.085215095076333,-5.99
